date;amount;description;sub_category_id;account_id;financial_flow_id
28/04/2022;49.31;Leclerc Clisson - Carburant;141;1;2
28/04/2022;695.95;Leroy Merlin - Tondeuse + d?broussailleuse;118;1;2
29/04/2022;80;Caf? de l'?le;26;1;2
29/04/2022;12;Le Parisien;26;1;2
29/04/2022;11.46;Uber;87;1;2
01/05/2022;5.99;Amazon Prime;75;1;2
02/05/2022;8.39;CA Protection Juridique;68;1;2
02/05/2022;44.43;CA Assurance auto - Peugreot 2008;71;1;2
02/05/2022;44.99;Orange - Internet + d?codeur 2;106;1;2
02/05/2022;26.99;Orange - OCS + Netflix - F?vrier;75;1;2
02/05/2022;11;Mouzillon <=> Angers;141;1;2
03/05/2022;11;Mouzillon <=> Angers;141;1;2
03/05/2022;22.9;Bricomarch? - Bottes;43;1;2
03/05/2022;27.99;Clef USB;74;1;2
03/05/2022;99.99;Casques PS5;30;1;2
04/05/2022;6.76;CA Cotisation Compte Service;117;1;2
04/05/2022;359.97;Boulanger - Thermostat connect? + ampoules;73;1;2
04/05/2022;33.19;CA Multirisques Habitation;65;1;2
05/05/2022;48.02;Tricount - Avril;22;1;2
05/05/2022;10;Disclose;49;1;2
05/05/2022;50;Assu. Cnp Pret Habitat;66;1;2
05/05/2022;79;EDF;105;1;2
05/05/2022;450;Pr?t Habitat (221 647?);20;1;2
05/05/2022;10;MSF;49;1;2
05/05/2022;10;Aides;49;1;2
05/05/2022;10;Sea Shepherd;49;1;2
05/05/2022;105;Epargne AXA PERP;112;1;2
05/05/2022;103;Epargne AXA Assurance vie;110;1;2
05/05/2022;19.3;G?ant Casino;9;1;2
05/05/2022;11;Mouzillon <=> Angers;141;1;2
05/05/2022;10;Secours Populaire;49;1;2
05/05/2022;55.75;CHU Nantes - IRM genou gauche;54;1;2
05/05/2022;1.5;Parking Nantes;84;1;2
06/05/2022;0.6;P?riph Nantes;85;1;2
06/05/2022;17.5;Le Mo?a;26;1;2
07/05/2022;7;Courses des 2 plages;26;1;2
07/05/2022;32.7;Eau Pressing - Vallet;143;1;2
08/05/2022;33.4;Super U Br?tignolles Sur Mer;81;1;2
09/05/2022;10;Les restos du C?ur;49;1;2
09/05/2022;10;Surf Rider;49;1;2
09/05/2022;9.99;SOSH;107;1;2
10/05/2022;29.42;CA Assurance auto - Polo;71;1;2
10/05/2022;11;Mouzillon <=> Angers;141;1;2
12/05/2022;11;Mouzillon <=> Angers;141;1;2
12/05/2022;25;Adh?sion Surf Rider;49;1;2
13/05/2022;60;CA;109;1;2
13/05/2022;73.9;Vap'Access;38;1;2
14/05/2022;103.95;BD Story;25;1;2
16/05/2022;19.33;CA Garantie Accidents De La Vie;63;1;2
17/05/2022;65;Taxe fonci?re;61;1;2
17/05/2022;13;Taxe habitation;142;1;2
18/05/2022;9.6;Mouzillon <=> Angers;141;1;2
18/05/2022;15.54;G?ant Casino;9;1;2
18/05/2022;169.99;Boulanger - Station m?t?o connect?e;73;1;2
19/05/2022;9.6;Mouzillon <=> Angers;141;1;2
19/05/2022;94.98;Boulanger - Station m?t?o connect?e;73;1;2
19/05/2022;2;CA Valeur Prevoyance;64;1;2
19/05/2022;16.5;Wash - Rouleau;78;1;2
19/05/2022;22.5;Leroy Merlin;6;1;2
20/05/2022;27;La Sangu?ze;44;1;2
21/05/2022;10.99;Hyper U - Bonbonne gaz;45;1;2
21/05/2022;11.95;Leclerc;9;1;2
21/05/2022;37.3;Bricomarch? - Jardin;118;1;2
21/05/2022;179.8;Bricomarch? - Bricolage;6;1;2
22/05/2022;15.4;McDo;9;1;2
23/05/2022;295;Hellfest - Pass 4 jours;28;1;2
24/05/2022;10.99;Deezer;75;1;2
24/05/2022;11;Mouzillon <=> Angers;141;1;2
24/05/2022;50;Cardano (ADA);111;1;2
24/05/2022;50;Decentraland (MANA);111;1;2
25/05/2022;38;Reve en t?te - Vallet;39;1;2
26/05/2022;35.99;7vague - Place samedi;28;1;2
26/05/2022;80;Peugeot 2008;81;1;2
28/05/2022;11.96;SPAR ;9;1;2
28/05/2022;25.5;7vague - Jetons;26;1;2
28/05/2022;50;The Sandbox (SAND);111;1;2
29/05/2022;15;7vague;28;1;2
29/05/2022;16.25;McDo;44;1;2
01/06/2022;50.16;Tricount - Mai;22;1;2
01/06/2022;8.39;CA Protection Juridique;68;1;2
01/06/2022;44.43;CA Assurance auto - Peugeot 2008;71;1;2
02/06/2022;34.99;Orange - Internet;106;1;2
02/06/2022;26.99;Orange - OCS + Netflix;75;1;2
02/06/2022;500;Epargne;111;1;2
01/06/2022;5.99;Amazon Prime;75;1;2
03/06/2022;6.76;CA Cotisation Compte Service;117;1;2
03/06/2022;334.99;IZAC- Costume + chemise;43;1;2
03/06/2022;155;Pied de Biche - Chaussures + cr?me de soin;43;1;2
03/06/2022;29.4;Omija;44;1;2
03/06/2022;3.9;Caf?;26;1;2
03/06/2022;8.6;Le Pallet <=> Nantes;87;1;2
04/06/2022;35;Vinyle - Cadeau Arnaud;48;1;2
04/06/2022;15;Vinyle;35;1;2
04/06/2022;6.7;March? de Vallet - Boucher;9;1;2
04/06/2022;4.5;March? de Vallet - Boulanger;9;1;2
06/06/2022;49.99;Playstation - Batman: Return to Arkham;32;1;2
06/06/2022;10;MSF;49;1;2
06/06/2022;10;Aides;49;1;2
06/06/2022;10;Sea Shepherd;49;1;2
06/06/2022;105;Epargne AXA PERP;112;1;2
06/06/2022;103;Epargne AXA Assurance vie;110;1;2
07/06/2022;50;Assu. Cnp Pret Habitat;66;1;2
07/06/2022;79;EDF;105;1;2
07/06/2022;450;Pr?t Habitat (221 647?);20;1;2
07/06/2022;33.19;CA Multirisques Habitation;65;1;2
07/06/2022;10;Les restos du C?ur;49;1;2
07/06/2022;11;Mouzillon <=> Angers;141;1;2
07/06/2022;40;Lunettes de soleil;43;1;2
08/06/2022;10;Disclose;49;1;2
08/06/2022;10;Secours Populaire;49;1;2
09/06/2022;11;Mouzillon <=> Angers;141;1;2
09/06/2022;6;Bricomarch? - Tuteurs pour pied de tomates;118;1;2
10/06/2022;30.32;CA Assurance auto - Polo;71;1;2
10/06/2022;9.99;SOSH;107;1;2
11/06/2022;90;DAB Doulon;109;1;2
12/06/2022;4.8;Boulangerie March? de Doulon;9;1;2
13/06/2022;10;Surf Rider;49;1;2
14/06/2022;11;Mouzillon <=> Angers;141;1;2
14/06/2022;71;Mercerie - Vallet;43;1;2
15/06/2022;19.74;CA Garantie Accidents De La Vie;63;1;2
15/06/2022;15.9;Eau Pressing - Vallet;143;1;2
16/06/2022;65;Taxe fonci?re;61;1;2
16/06/2022;13;Taxe habitation;142;1;2
16/06/2022;14.7;Mouzillon <=> Angers;141;1;2
16/06/2022;2;Wash - Aspi;78;1;2
16/06/2022;20.85;Total - Kona;81;1;2
17/06/2022;115.97;Story BD;25;1;2
18/06/2022;50;Polkadot (DOT);111;1;2
19/06/2022;18.8;McDo;9;1;2
21/06/2022;2;CA Valeur Prevoyance;64;1;2
21/06/2022;11;Mouzillon <=> Angers;141;1;2
22/06/2022;10.99;Deezer;75;1;2
22/06/2022;23.2;Fromages - Natacha;9;1;2
22/06/2022;201.5;Hellfest - Cashless;28;1;2
23/06/2022;11;Mouzillon <=> Angers;141;1;2
24/06/2022;32.84;La Concentr';44;1;2
24/06/2022;23.3;La Concentr';26;1;2
25/06/2022;88.3;Clisson - Cigarettes ?lectroniques;38;1;2
25/06/2022;150;Hellfest;109;1;2
26/06/2022;10.74;Playstation Plus Extra;32;1;2
26/06/2022;14.55;Boulangerie Le Pallet;9;1;2
27/06/2022;500;Epargne AXA PERP;112;1;2
27/06/2022;238.01;Remboursement Ecran Showizz;22;1;2
30/06/2022;11;Mouzillon <=> Angers;141;1;2
30/06/2022;10.85;Boulangerie Angers;9;1;2
01/07/2022;8.39;CA Protection Juridique;68;1;2
01/07/2022;44.43;CA Assurance auto - Peugeot 2008;71;1;2
03/07/2022;108;4 caisses Perles Passionn?ment;46;1;2
04/07/2022;34.99;Orange - Internet;106;1;2
04/07/2022;26.99;Orange - OCS + Netflix;75;1;2
04/07/2022;33.19;CA Multirisques Habitation;65;1;2
04/07/2022;187.81;Tricount - Mai;22;1;2
04/07/2022;801;Epargne;111;1;2
04/07/2022;5.99;Amazon Prime;75;1;2
04/07/2022;10;Disclose;49;1;2
04/07/2022;6.76;CA Cotisation Compte Service;117;1;2
04/07/2022;60;Dr Chaline Nicolas - Genou;54;1;2
04/07/2022;38;La cascade;44;1;2
05/07/2022;50;Assu. Cnp Pret Habitat;66;1;2
05/07/2022;79;EDF;105;1;2
05/07/2022;450;Pr?t Habitat (221 647?);20;1;2
05/07/2022;10;MSF;49;1;2
05/07/2022;10;Aides;49;1;2
05/07/2022;10;Sea Shepherd;49;1;2
05/07/2022;11;Mouzillon <=> Angers;141;1;2
05/07/2022;25.5;John Mc Byrne;26;1;2
05/07/2022;35.8;Cr?perie Sainte Croix;44;1;2
05/07/2022;13.74;G?ant Casino;9;1;2
05/07/2022;3;Parking Feydeau;84;1;2
05/07/2022;10;Secours Populaire;49;1;2
06/07/2022;40;Avalanche (AVAX);111;1;2
06/07/2022;10;Polygon (MATIC);111;1;2
07/07/2022;11;Mouzillon <=> Angers;141;1;2
07/07/2022;10;Les restos du C?ur;49;1;2
08/07/2022;19.99;Intersport - Lunettes de soleil;43;1;2
08/07/2022;10;Surf Rider;49;1;2
08/07/2022;9.57;Hyper U - Bi?res;10;1;2
08/07/2022;87.95;Hyper U - Br?tignolles;81;1;2
08/07/2022;70.74;Hyper U - Vallet;81;1;2
08/07/2022;59;Vap'Access;38;1;2
09/07/2022;34;O P'tit Marais - Bistrot;26;1;2
09/07/2022;32;O P'tit Marais - Bistrot;26;1;2
09/07/2022;24;O P'tit Marais - Bistrot;26;1;2
09/07/2022;12;O P'tit Marais - Bistrot;26;1;2
09/07/2022;10;O P'tit Marais - Bistrot;26;1;2
09/07/2022;3.45;O P'tit Marais - Pain;9;1;2
10/07/2022;35.76;O P'tit Marais - Resto;44;1;2
10/07/2022;18.4;O P'tit Marais - Camping;92;1;2
10/07/2022;14.1;O P'tit Marais - Bistrot;26;1;2
11/07/2022;30.37;CA Assurance auto - Polo;71;1;2
11/07/2022;9.99;SOSH;107;1;2
15/07/2022;19.72;CA Garantie Accidents De La Vie;63;1;2
15/07/2022;45;Contravention - Periph nantais;76;1;2
15/07/2022;56.7;Bricomarch? - Terreau + pulv?risateur;118;1;2
16/07/2022;38;Reve en t?te - Vallet;39;1;2
16/07/2022;163.18;Bricomarch? - Accessoires barbecue;41;1;2
17/07/2022;6.3;Boulangerie Le Pallet;9;1;2
18/07/2022;65;Taxe fonci?re;61;1;2
18/07/2022;13;Taxe habitation;142;1;2
20/07/2022;2;CA Valeur Prevoyance;64;1;2
20/07/2022;47;Horace - Shampoing barbe;39;1;2
22/07/2022;10.99;Deezer;75;1;2
