date;montant;description;sub_category_id;financial_flow_id
11/01/2025;11,80 €;Boulangerie ;Alimentation;2
12/01/2025;102,64 €;Luminaires Cousin Paul;Aménagement;2
12/01/2025;31,46 €;Peugeot 2008;Carburant;2
13/01/2025;97,49 €;Leclerc;Alimentation;2
15/01/2025;4,70 €;Boulangerie ;Alimentation;2
16/01/2025;62,00 €;L'Augerie;Taxe foncière;2
16/01/2025;58,00 €;Leroy Merlin;Bricolage;2
16/01/2025;150,00 €;Clôture potager;Aménagement;2
17/01/2025;27,50 €;Restaurant - MAD;Restaurant/brasserie;2
17/01/2025;50,56 €;Biocoop;Alimentation;2
18/01/2025;30,06 €;Polo;Carburant;2
20/01/2025;3,59 €;Elly - Bonnet;Courses;2
22/01/2025;15,91 €;Leroy Merlin;Bricolage;2
22/01/2025;20,27 €;Pharmacie;Courses;2
24/01/2025;25,27 €;Peugeot 2008;Carburant;2
24/01/2025;56,52 €;Olio & Burro;Restaurant/brasserie;2
24/01/2025;1,07 €;Leroy Merlin;Bricolage;2
25/01/2025;13,00 €;Cadeau Calou;Courses;2
27/01/2025;154,72 €;EDF;Électricité;2
28/01/2025;25,47 €;Polo;Carburant;2
28/01/2025;18,50 €;Carte bancaire;Frais bancaires;2
29/01/2025;29,66 €;Biocoop ;Alimentation;2
29/01/2025;29,92 €;Peugeot 2008;Carburant;2
30/01/2025;2,30 €;Boulangerie;Alimentation;2
30/01/2025;2,10 €;Boulangerie;Alimentation;2
31/01/2025;427,85 €;Elly - MAM;MAM;2
04/02/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
04/02/2025;1,35 €;Boulangerie;Alimentation;2
05/02/2025;64,42 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
05/02/2025;4,65 €;Beurre;Alimentation;2
06/02/2025;18,80 €;Lait Elly;Alimentation;2
07/02/2025;6,98 €;Elly - Top Assmat;MAM;2
08/02/2025;24,72 €;Peugeot 2008;Carburant;2
10/02/2025;14,00 €;Atlantic'Eau ;Eau;2
10/02/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/02/2025;277,58 €;PTZ (9 993€);PTZ;2
10/02/2025;45,94 €;Deuxième versement - Amidal;Alimentation;2
12/02/2025;54,57 €;Graines potager;Courses;2
14/02/2025;88,26 €;Redevance ordures ménagères;Taxe ordures ménagères;2
14/02/2025;69,54 €;La Fourche;Alimentation;2
14/02/2025;104,87 €;Leclerc;Alimentation;2
15/02/2025;26,53 €;Peugeot 2008;Carburant;2
17/02/2025;22,54 €;Biocoop;Alimentation;2
18/02/2025;62,00 €;L'Augerie;Taxe foncière;2
19/02/2025;7,90 €;Elly - Gintuss;Courses;2
19/02/2025;17,00 €;La revue dessinnés;Courses;2
20/02/2025;36,12 €;Peugeot 2008;Assurance voiture;2
21/02/2025;35,85 €;Jardins de la Sangueze;Alimentation;2
21/02/2025;21,82 €;Biocoop;Alimentation;2
24/02/2025;27,24 €;Peugeot 2008;Carburant;2
24/02/2025;59,13 €;Biocoop;Alimentation;2
27/02/2025;154,72 €;EDF;Électricité;2
27/02/2025;51,80 €;Bohome Living - fil élec suspension;Courses;2
28/02/2025;238,58 €;Elly - MAM;MAM;2
01/03/2025;6,30 €;Boulangerie;Alimentation;2
01/03/2025;50,90 €;Biocoop;Alimentation;2
01/03/2025;18,00 €;Emmaüs - Draps + livres;Courses;2
01/03/2025;9,52 €;La Ferme de Chez Nous;Alimentation;2
01/03/2025;25,00 €;Elly - Activité lundis;Courses;2
03/03/2025;51,80 €;Peugeot 2008;Assurance voiture;2
04/03/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
05/03/2025;64,42 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
07/03/2025;6,98 €;Elly - Top Assmat;MAM;2
09/03/2025;27,77 €;Polo;Carburant;2
10/03/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/03/2025;277,58 €;PTZ (9 993€);PTZ;2
10/03/2025;27,77 €;Hyper U;Alimentation;2
10/03/2025;198,94 €;Peugeot 2008 - Norauto / Batterie;Auto;2
11/03/2025;24,07 €;Peugeot;Carburant;2
14/03/2025;21,95 €;Jardins de la Sanguèze;Alimentation;2
14/03/2025;14,03 €;Jardin de la Sanguèze;Alimentation;2
14/03/2025;67,57 €;Leclerc;Alimentation;2
14/03/2025;14,00 €;Atlantic'Eau ;Eau;2
14/03/2025;77,14 €;La Fourche;Alimentation;2
18/03/2025;62,00 €;Taxe habitation;Taxe foncière;2
22/03/2025;7,65 €;Boulangerie;Alimentation;2
26/03/2025;27,28 €;Peugeot 2008;Carburant;2
26/03/2025;27,05 €;Chlorophyle;Alimentation;2
27/03/2025;136,00 €;EDF;Électricité;2
28/03/2025;8,65 €;Peugeot 2008;Carburant;2
31/03/2025;511,08 €;Elly - MAM;MAM;2
31/03/2025;69,65 €;La Fourche;Alimentation;2
01/04/2025;51,80 €;Peugeot 2008;Assurance voiture;2
02/04/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
04/04/2025;12,91 €;Elly - Vêtements;Courses;2
05/04/2025;17,58 €;Pillages - BD papa;Courses;2
07/04/2025;64,42 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
07/04/2025;6,98 €;Elly - Top Assmat;MAM;2
07/04/2025;5,68 €;Elly - Vêtements;Courses;2
10/04/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/04/2025;277,58 €;PTZ (9 993€);PTZ;2
10/04/2025;42,32 €;Biocoop;Alimentation;2
11/04/2025;14,00 €;Atlantic'Eau ;Eau;2
11/04/2025;8,96 €;Biocoop;Alimentation;2
12/04/2025;0,67 €;Reliquat Révision + CT - Peugeot 2008;Courses;2
13/04/2025;19,00 €;Poulet rôti;Alimentation;2
15/04/2025;52,83 €;Vietnamien;Restaurant/brasserie;2
16/04/2025;62,00 €;Taxe habitation;Taxe foncière;2
16/04/2025;14,07 €;Peugeot 2008;Carburant;2
16/04/2025;45,06 €;Hyper U;Courses;2
17/04/2025;27,42 €;Peugeot 2008;Carburant;2
17/04/2025;42,86 €;Elly - MAM Novembre;MAM;2
23/04/2025;12,99 €;Câble USB pour 2008;Courses;2
24/04/2025;80,00 €;Clémi & Thibaut;Courses;2
26/04/2025;16,00 €;Métronome;Courses;2
26/04/2025;10,00 €;Les p'tits papiers;Courses;2
28/04/2025;136,00 €;EDF;Électricité;2
29/04/2025;18,00 €;Jardins de la Sanguèze;Alimentation;2
29/04/2025;51,00 €;Histoire de parents;Courses;2
29/04/2025;26,20 €;Polo;Carburant;2
29/04/2025;96,00 €;Mastock - Poteaux pour clôture;Bricolage;2
29/04/2025;23,70 €;Bricomarché - Potager - terreau;Courses;2
30/04/2025;75,20 €;Drive Leclerc;Courses;2
